sentiment,text,data_id
negative,"It's works but does not fit perfectly, will probably end up breaking quickly.",20
negative,"[[VIDEOID:937a87d5e9d3fe284036086fb80fa282]] I only had this item for three months.  It started to make the loudest noise after it dumped the ice into the holding tray.  Of course, the return window has passed, and the 90-day warranty is up.  If you are considering purchasing this ice maker, I would strongly NOT recommend it.",20
positive,I ordered without looking at the description.  My counter tops sit quite a bit lower than top of stove.  I even tried to lower stove to level out but the legs were already flush.  I think my granite is just thinner than most counter tops so these items will not work for my application.  They also seem really wide which detracts a little for me.<br />I liked the idea of metal vs silicone but I think the silicone maybe the forgiving way to go in my kitchen.,20
positive,,20
positive,I like it,20
positive,Works great. No refrigerator repair person needed,20
positive,"The one in my rental units dryer fell out, and I was drying shoes and some other things and it broke it. I am so glad I found this one because it fits better than the old one ever did.",20
positive,"Water so clean, it tastes like it came from the stream. Seriously- Sulfur tasting water is a thing of the Past!",20
positive,saved me a fortune on a service call solved the problem works like new,20
positive,fits right away,20
negative,Broken and a complete waste of money....,20
positive,Very expensive but did the trick and the lighting is now back to normal……really need to find generic alternative that doesn’t cost this much.,20
positive,Works perfectly!,20
positive,Shape of element is different than what was posted on Amazon. However still functional.,20
positive,Perfect,20
positive,I like that it filters extremely well so no debris goes in the cup,20
positive,"During the spinning cycle when using the small basket, the whole instrument trembles making a loud noise. Besides that it is a very powerful machine. I love it.",20
negative,I wished I would’ve written this long ago but I bought this refrigerator in 2016. Within a year the icemaker started freezing up. I had a local repair service replace the unit with one that Samsung provided for $300. I felt like it should have been free but I purchased it anyway. Within three months it was also freezing up. The repair person tried to contact Samsung service about it and was unsuccessful. Other than that I love the refrigerator but one star for faulty part and not making it right!,20
positive,"I have only been using this unit for one day, but it already far exceeds my expectations.  It is many times better than the very expensive GE Brand, I had 4 of those and never did get one to work.  This one makes ice quickly, easy to clean, big water take and is quite.  I will do another review in a month just to see how it is going since it is new to me right now.  Don’t hesitate to buy, perfect so far.",20
positive,"I knew nothing about installing this product, but it was very easy once I figured out how to take the washing machine cover off. FYI, each washing machine is different just use your brain lol!",20
negative,Purchased 2 of these and unfortunately they both came dented,20
negative,Worse than drinking straight from the tap.,20
